date,drafts,mean_v,drafts_normal,mean_v_normal,score
20140614,1052,-0.739,0.5540254237288136,0.34081326579699484,0.8948386895258085
20220628,781,-0.2383,0.4104872881355932,0.48249808992897364,0.8929853780645669
20221011,740,-0.1721,0.388771186440678,0.5012309346614222,0.8900021211021002
20200904,862,-0.4023,0.4533898305084746,0.4360904383259289,0.8894802688344035
20220705,618,0.0407,0.3241525423728814,0.5614476923512267,0.8856002347241081
20220826,791,-0.2871,0.4157838983050847,0.46868898384221397,0.8844728821472987
20180901,756,-0.2375,0.3972457627118644,0.4827244687172812,0.8799702314291455
20221003,819,-0.359,0.430614406779661,0.44834319024307423,0.8789575970227352
20200701,669,-0.0808,0.3511652542372881,0.5270664138770197,0.8782316681143079
20180802,198,0.798,0.1016949152542373,0.7757435128328476,0.8774384280870848
20220910,597,0.0493,0.3130296610169492,0.5638812643255326,0.8769109253424818
