date,drafts,mean_v,drafts_normal,mean_v_normal,score
20200730,349,-0.1162,0.32760267430754536,0.6259930775990387,0.9535957519065841
20181116,182,0.7631,0.16809933142311365,0.7836839368017071,0.9517832682248207
20140526,266,0.3144,0.24832855778414517,0.7032155090475422,0.9515440668316874
20220518,245,0.4182,0.2282712511938873,0.721830670181668,0.9501019213755553
20140322,267,0.2705,0.2492836676217765,0.6953426229802191,0.9446262906019955
20140521,292,0.1279,0.2731614135625597,0.6697691935223542,0.9429306070849139
20220803,379,-0.3377,0.3562559694364852,0.5862699736374886,0.9425259430739737
20140324,247,0.3509,0.23018147086914995,0.7097613027026057,0.9399427735717557
20220730,336,-0.151,0.3151862464183381,0.6197521565251699,0.9349384029435079
20200527,114,1.0295,0.10315186246418338,0.831459263643048,0.9346111261072314
20221004,338,-0.1658,0.31709646609360076,0.617097971700651,0.9341944377942517
